"Time","A2","A3","A4","A5","A6","A7","A8","A9","B2","B3","B4","B5","B6","B7","B8","B9","C2","C3","C4","C5","C6","C7","C8","C9","D2","D3","D4","D5","D6","D7","D8","D9"
0,0.045,0.045,0.044,0.043,0.045,0.044,0.043,0.043,0.044,0.042,0.042,0.043,0.042,0.041,0.042,0.041,0.042,0.042,0.043,0.043,0.043,0.043,0.042,0.042,0.042,0.043,0.042,0.045,0.043,0.043,0.045,0.043
20,0.046,0.047,0.046,0.044,0.046,0.047,0.045,0.044,0.044,0.043,0.044,0.044,0.043,0.043,0.043,0.043,0.043,0.043,0.044,0.044,0.044,0.044,0.043,0.044,0.043,0.044,0.042,0.046,0.043,0.045,0.046,0.044
40,0.048,0.05,0.049,0.046,0.049,0.05,0.048,0.046,0.045,0.044,0.044,0.044,0.044,0.043,0.044,0.044,0.043,0.043,0.044,0.044,0.044,0.044,0.043,0.044,0.043,0.044,0.043,0.046,0.044,0.045,0.046,0.044
60,0.052,0.057,0.054,0.05,0.053,0.056,0.054,0.05,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.044,0.043,0.044,0.044,0.044,0.044,0.044,0.043,0.044,0.044,0.044,0.042,0.046,0.044,0.045,0.045,0.044
80,0.058,0.067,0.062,0.059,0.062,0.065,0.064,0.056,0.046,0.045,0.046,0.046,0.045,0.045,0.045,0.045,0.044,0.044,0.044,0.044,0.045,0.045,0.043,0.044,0.044,0.043,0.043,0.046,0.044,0.045,0.045,0.044
100,0.065,0.081,0.072,0.071,0.075,0.076,0.078,0.064,0.046,0.047,0.047,0.046,0.046,0.047,0.047,0.046,0.043,0.044,0.044,0.044,0.045,0.045,0.043,0.044,0.043,0.044,0.043,0.046,0.043,0.045,0.045,0.045
120,0.072,0.097,0.083,0.086,0.091,0.087,0.094,0.073,0.048,0.05,0.05,0.049,0.048,0.05,0.051,0.048,0.044,0.044,0.045,0.045,0.045,0.046,0.044,0.045,0.044,0.044,0.043,0.046,0.043,0.045,0.045,0.045
140,0.081,0.114,0.095,0.103,0.108,0.101,0.112,0.083,0.05,0.056,0.053,0.053,0.051,0.054,0.056,0.051,0.044,0.045,0.045,0.045,0.045,0.046,0.044,0.045,0.044,0.044,0.043,0.046,0.044,0.045,0.045,0.045
160,0.091,0.132,0.107,0.122,0.127,0.114,0.131,0.093,0.053,0.063,0.058,0.059,0.057,0.06,0.064,0.055,0.045,0.045,0.046,0.046,0.046,0.046,0.045,0.045,0.044,0.044,0.043,0.046,0.044,0.046,0.045,0.046
180,0.099,0.15,0.119,0.14,0.145,0.127,0.15,0.103,0.056,0.071,0.064,0.066,0.062,0.066,0.072,0.059,0.044,0.046,0.046,0.046,0.046,0.047,0.045,0.046,0.044,0.044,0.043,0.046,0.044,0.046,0.045,0.046
200,0.109,0.168,0.132,0.16,0.166,0.141,0.171,0.115,0.06,0.08,0.07,0.074,0.07,0.073,0.082,0.065,0.045,0.047,0.047,0.046,0.047,0.048,0.046,0.047,0.044,0.045,0.044,0.047,0.045,0.046,0.045,0.047
220,0.118,0.186,0.144,0.179,0.184,0.154,0.19,0.125,0.064,0.09,0.078,0.084,0.08,0.081,0.092,0.07,0.046,0.049,0.048,0.048,0.048,0.049,0.048,0.047,0.044,0.045,0.043,0.047,0.044,0.046,0.045,0.046
240,0.128,0.201,0.156,0.197,0.203,0.168,0.208,0.136,0.068,0.099,0.084,0.094,0.088,0.088,0.102,0.076,0.046,0.05,0.05,0.048,0.049,0.05,0.05,0.047,0.044,0.044,0.043,0.047,0.044,0.046,0.045,0.046
260,0.137,0.216,0.169,0.215,0.221,0.182,0.227,0.147,0.074,0.111,0.093,0.106,0.099,0.098,0.115,0.083,0.047,0.054,0.053,0.051,0.052,0.053,0.054,0.049,0.045,0.045,0.044,0.048,0.045,0.046,0.045,0.047
280,0.147,0.229,0.181,0.231,0.235,0.195,0.242,0.158,0.079,0.122,0.1,0.116,0.109,0.106,0.127,0.089,0.048,0.057,0.055,0.053,0.055,0.055,0.058,0.05,0.044,0.045,0.044,0.047,0.045,0.046,0.045,0.047
300,0.156,0.239,0.193,0.245,0.249,0.208,0.256,0.17,0.085,0.133,0.108,0.129,0.121,0.115,0.14,0.096,0.049,0.061,0.058,0.056,0.059,0.058,0.062,0.052,0.045,0.045,0.044,0.048,0.045,0.046,0.045,0.048
320,0.165,0.248,0.204,0.256,0.261,0.221,0.266,0.182,0.09,0.145,0.117,0.141,0.132,0.124,0.153,0.103,0.051,0.065,0.062,0.059,0.063,0.062,0.067,0.055,0.044,0.045,0.044,0.047,0.045,0.046,0.045,0.048
340,0.175,0.256,0.216,0.267,0.27,0.234,0.276,0.193,0.096,0.157,0.125,0.154,0.144,0.133,0.166,0.11,0.053,0.07,0.066,0.064,0.068,0.066,0.072,0.057,0.045,0.046,0.045,0.048,0.045,0.047,0.045,0.048
360,0.184,0.261,0.227,0.276,0.278,0.245,0.284,0.205,0.102,0.17,0.134,0.167,0.158,0.143,0.18,0.119,0.056,0.076,0.07,0.069,0.074,0.071,0.078,0.06,0.046,0.047,0.045,0.048,0.047,0.048,0.046,0.049
380,0.193,0.265,0.236,0.282,0.284,0.254,0.288,0.214,0.107,0.181,0.141,0.179,0.169,0.15,0.192,0.124,0.058,0.08,0.073,0.073,0.078,0.074,0.082,0.062,0.045,0.047,0.045,0.048,0.046,0.047,0.045,0.048
400,0.201,0.269,0.245,0.289,0.29,0.265,0.295,0.225,0.113,0.194,0.15,0.193,0.182,0.16,0.207,0.133,0.061,0.086,0.078,0.078,0.085,0.079,0.089,0.066,0.046,0.048,0.046,0.049,0.047,0.048,0.046,0.049
420,0.209,0.272,0.254,0.294,0.294,0.274,0.3,0.235,0.119,0.206,0.158,0.206,0.195,0.169,0.221,0.14,0.063,0.091,0.083,0.084,0.091,0.084,0.095,0.069,0.046,0.049,0.046,0.049,0.047,0.049,0.047,0.049
440,0.217,0.275,0.262,0.298,0.298,0.283,0.304,0.245,0.125,0.219,0.167,0.22,0.208,0.179,0.235,0.148,0.067,0.097,0.088,0.09,0.097,0.089,0.102,0.073,0.047,0.05,0.047,0.05,0.048,0.05,0.048,0.049
